Workload, Duration (s), #Tasks/CPU, #CPUs, Period (ms), KVS Type, Node ID, Successful Reads (%), Successful Writes (%), Successful Read Iterations (%), Successful Write Iterations (%), App BCET (ms), App ACET (ms), App WCET (ms), KVS BCET (ms), KVS ACET (ms), KVS WCET (ms), Stable control?
IvP1, 100, 1, 1, 800, BFTKVS2, 1, 100, 100, 100, 100, 0.034411, 0.075392, 0.098532, 2.25364, 186.473, 203.758, failure
IvP1, 100, 1, 1, 400, BFTKVS2, 1, 100, 100, 100, 100, 0.024464, 0.0800102, 0.117609, 2.63921, 100.844, 103.86, failure
IvP1, 100, 1, 1, 200, BFTKVS2, 1, 100, 100, 100, 100, 0.01881, 0.0757556, 0.124067, 2.32705, 50.8478, 54.0451, failure
IvP1, 100, 1, 1, 100, BFTKVS2, 1, 99.9, 100, 99.9, 100, 0.01893, 0.0766867, 0.132626, 2.08605, 26.0383, 50.7816, failure
IvP1, 100, 1, 1, 50, BFTKVS2, 1, 100, 100, 100, 100, 0.016889, 0.0793559, 0.170751, 2.13653, 14.6236, 25.7572, success
IvP1, 100, 4, 1, 800, BFTKVS2, 1, 100, 100, 100, 100, 0.01888, 0.073806, 0.12016, 2.68662, 201.273, 204.63, failure
IvP1, 100, 4, 1, 400, BFTKVS2, 1, 100, 100, 100, 100, 0.016263, 0.0779224, 0.158774, 4.73888, 102.519, 104.417, failure
IvP1, 100, 4, 1, 200, BFTKVS2, 1, 100, 100, 100, 100, 0.015582, 0.0779432, 0.147448, 4.67485, 52.0928, 54.8876, failure
IvP1, 100, 4, 1, 100, BFTKVS2, 1, 100, 100, 100, 100, 0.016187, 0.0783408, 0.145295, 6.14851, 27.5847, 30.938, failure
IvP1, 100, 4, 1, 50, BFTKVS2, 1, 100, 100, 100, 100, 0.015591, 0.0765339, 0.134984, 0.635636, 14.4462, 18.0457, success
IvP1, 100, 1, 3, 800, BFTKVS2, 1, 100, 100, 100, 100, 0.018291, 0.0706946, 0.103073, 1.6817, 133.088, 203.758, failure
IvP1, 100, 1, 3, 400, BFTKVS2, 1, 100, 100, 100, 100, 0.016041, 0.065948, 0.109926, 3.82254, 68.8686, 104.112, failure
IvP1, 100, 1, 3, 200, BFTKVS2, 1, 100, 100, 100, 100, 0.015957, 0.0702389, 0.120324, 2.60679, 35.1181, 53.5551, failure
IvP1, 100, 1, 3, 100, BFTKVS2, 1, 100, 100, 100, 100, 0.017077, 0.0792738, 0.164923, 2.07692, 18.7583, 29.0109, failure
IvP1, 100, 1, 3, 50, BFTKVS2, 1, 100, 100, 100, 100, 0.015976, 0.0800682, 0.167117, 1.46981, 10.356, 25.7624, success
IvP1, 100, 4, 3, 800, BFTKVS2, 1, 100, 100, 100, 100, 0.01549, 0.072063, 0.130393, 1.38668, 134.806, 204.512, failure
IvP1, 100, 4, 3, 400, BFTKVS2, 1, 100, 100, 100, 100, 0.01627, 0.0712064, 0.15831, 3.23178, 69.0919, 106.189, failure
IvP1, 100, 4, 3, 200, BFTKVS2, 1, 100, 100, 100, 100, 0.016164, 0.0705861, 0.148688, 3.08213, 35.2654, 54.9512, failure
IvP1, 100, 4, 3, 100, BFTKVS2, 1, 100, 100, 100, 100, 0.014912, 0.0797262, 0.152317, 2.76769, 18.7252, 33.0753, failure
IvP1, 100, 4, 3, 50, BFTKVS2, 1, 100, 100, 100, 100, 0.01481, 0.0805653, 0.158323, 0.589134, 10.6396, 17.1823, success
IvP1, 100, 1, 1, 800, RedisKVS2, 1, 100, 100, 100, 100, 7.16767, 28.6492, 63.0644, 0.000355, 17.041, 49.0411, failure
IvP1, 100, 1, 1, 400, RedisKVS2, 1, 100, 100, 100, 100, 5.37362, 38.8586, 56.5578, 3.32936, 31.9703, 54.983, failure
IvP1, 100, 1, 1, 200, RedisKVS2, 1, 100, 100, 100, 100, 6.68559, 53.4327, 57.041, 0.000535, 46.1472, 54.387, failure
IvP1, 100, 1, 1, 100, RedisKVS2, 1, 100, 100, 100, 100, 6.65428, 43.8328, 61.4478, 0.000483, 30.1377, 48.594, failure
IvP1, 100, 1, 1, 50, RedisKVS2, 1, 97.9684, 97.95, 97.55, 97.55, 5.36309, 23.9976, 53.3596, 0.000374, 12.5972, 43.8674, success
IvP1, 100, 4, 1, 800, RedisKVS2, 1, 96.6632, 100, 36.6, 100, 6.27551, 75.2352, 116.497, 2.21687, 70.8328, 114.208, failure
IvP1, 100, 4, 1, 200, RedisKVS2, 1, 96.3132, 100, 30.85, 100, 17.9385, 105.578, 118.459, 0.000506, 105.508, 116.823, failure
IvP1, 100, 4, 1, 100, RedisKVS2, 1, 91.6303, 99.8171, 1.275, 99.7, 14.395, 68.278, 101.066, 0.000477, 67.778, 108.416, failure
IvP1, 100, 1, 3, 800, RedisKVS2, 1, 0.8, 100, 0.8, 100, 6.00735, 17.4754, 45.1633, 0.000359, 15.9911, 44.754, failure
IvP1, 100, 1, 3, 200, RedisKVS2, 1, 99.8807, 100, 99.6, 100, 8.44778, 37.8557, 63.5563, 0.000393, 22.8456, 52.7896, failure
IvP1, 100, 1, 3, 50, RedisKVS2, 1, 0.05, 100, 0.05, 100, 1.97977, 14.1196, 43.9375, 0.681055, 11.5256, 43.1036, success
IvP1, 100, 4, 3, 800, RedisKVS2, 1, 95.6421, 100, 22.1333, 100, 5.43041, 58.25, 96.0863, 0.000362, 59.1133, 95.1227, failure
IvP1, 100, 4, 3, 400, RedisKVS2, 1, 93.9772, 100, 6.46667, 100, 7.22032, 78.5639, 115.929, 0.000364, 56.9541, 112.383, failure
IvP1, 100, 1, 1, 800, ETCDKVS, 1, 4.08421, 12.8842, 0.8, 0, 799.726, 958.908, 1315.81, 4.6e-05, 0.000249456, 0.000368, failure
IvP1, 100, 1, 1, 400, ETCDKVS, 1, 0.842105, 1.85263, 0.4, 0, 407.949, 620.322, 1866.55, 4.5e-05, 0.000283488, 0.005429, failure
IvP1, 100, 1, 1, 200, ETCDKVS, 1, 0.2, 0.873684, 0.2, 0, 199.87, 432.68, 2077.03, 4.4e-05, 0.00124287, 0.290513, failure
IvP1, 100, 1, 1, 100, ETCDKVS, 1, 0.105263, 2.11579, 0.1, 0, 100.009, 238.965, 1657.86, 5.5e-05, 0.000453889, 0.142684, failure
IvP1, 100, 1, 1, 50, ETCDKVS, 1, 0.0552632, 1.81316, 0.05, 0, 50.0146, 200.474, 1211.85, 4.4e-05, 0.000558594, 0.419878, success
IvP1, 100, 4, 1, 800, ETCDKVS, 1, 1.36842, 1.62105, 0.8, 0, 800.432, 1218.62, 2899.88, 4.6e-05, 0.00022308, 0.000541, failure
IvP1, 100, 4, 1, 400, ETCDKVS, 1, 0.431579, 2.62632, 0.4, 0, 398.962, 602.84, 1930.37, 0.000109, 0.000359132, 0.005502, failure
IvP1, 100, 4, 1, 200, ETCDKVS, 1, 0.2, 0.968421, 0.2, 0, 199.319, 459.489, 1613.73, 4.4e-05, 0.000904996, 0.327722, failure
IvP1, 100, 4, 1, 100, ETCDKVS, 1, 0.1, 0.206579, 0.1, 0, 101.329, 376.643, 1686.5, 6.1e-05, 0.000382933, 0.087484, failure
IvP1, 100, 4, 1, 50, ETCDKVS, 1, 0.05, 0.0184211, 0.05, 0, 50.2425, 174.541, 1959.71, 4.3e-05, 0.00433059, 5.69662, success
IvP1, 100, 1, 3, 800, ETCDKVS, 1, 1.24912, 2.18947, 0.8, 0, 801.577, 1174.41, 2544.78, 4.6e-05, 0.00022952, 0.000814, failure
IvP1, 100, 1, 3, 400, ETCDKVS, 1, 0.42807, 0.814035, 0.4, 0, 400.137, 802.574, 2388.98, 4.4e-05, 0.000449665, 0.125728, failure
IvP1, 100, 1, 3, 200, ETCDKVS, 1, 0.203509, 0.459649, 0.2, 0, 200.329, 570.506, 2021.16, 4.3e-05, 0.000373146, 0.170348, failure
IvP1, 100, 1, 3, 100, ETCDKVS, 1, 0.103509, 0.314035, 0.1, 0, 101.179, 415.517, 2267.59, 4.2e-05, 0.00045489, 0.264661, failure
IvP1, 100, 1, 3, 50, ETCDKVS, 1, 0.05, 1.02105, 0.05, 0, 49.9153, 271.887, 2075.56, 5.2e-05, 0.000331627, 0.151124, success
IvP1, 100, 4, 3, 800, ETCDKVS, 1, 0.835088, 0.701754, 0.8, 0, 800.329, 1399.93, 4575.41, 0.000106, 0.000360485, 0.005419, failure
IvP1, 100, 4, 3, 400, ETCDKVS, 1, 0.414035, 1.00526, 0.4, 0, 399.767, 718.885, 2805.41, 0.000107, 0.000492571, 0.050686, failure
IvP1, 100, 4, 3, 200, ETCDKVS, 1, 0.2, 0.166667, 0.2, 0, 200.088, 624.272, 2372.15, 4.4e-05, 0.000220383, 0.036814, failure
IvP1, 100, 4, 3, 100, ETCDKVS, 1, 0.1, 0.0833333, 0.1, 0, 100.003, 454.224, 2602.45, 4.3e-05, 0.000245182, 0.197162, failure
IvP1, 100, 4, 3, 50, ETCDKVS, 1, 0.05, 0.0138158, 0.05, 0, 50.4353, 89.738, 793.318, 4.4e-05, 0.000293523, 0.49779, success
