Workload, Duration (s), #Tasks/CPU, #CPUs, Period (ms), KVS Type, Node ID, Successful Reads (%), Successful Writes (%), Successful Read Iterations (%), Successful Write Iterations (%), App BCET (ms), App ACET (ms), App WCET (ms), KVS BCET (ms), KVS ACET (ms), KVS WCET (ms), Stable control?
IvP1, 100, 1, 1, 800, BFTKVS2, 3, 100, 100, 100, 100, 0.039356, 0.0839916, 0.117722, 3.28721, 207.277, 401.462, failure
IvP1, 100, 1, 1, 400, BFTKVS2, 3, 100, 100, 100, 100, 0.018173, 0.0719313, 0.109837, 3.74356, 107.052, 201.231, failure
IvP1, 100, 1, 1, 200, BFTKVS2, 3, 100, 100, 100, 100, 0.017587, 0.0747798, 0.132416, 3.60091, 50.9545, 53.863, failure
IvP1, 100, 1, 1, 100, BFTKVS2, 3, 100, 100, 100, 100, 0.018057, 0.0755507, 0.148199, 3.459, 26.3604, 29.0152, failure
IvP1, 100, 1, 1, 50, BFTKVS2, 3, 100, 100, 100, 100, 0.016516, 0.0744773, 0.132093, 3.37938, 14.5426, 25.7825, success
IvP1, 100, 4, 1, 800, BFTKVS2, 3, 100, 100, 100, 100, 0.019866, 0.0771393, 0.117495, 5.15491, 200.797, 204.396, failure
IvP1, 100, 4, 1, 400, BFTKVS2, 3, 100, 100, 100, 100, 0.015995, 0.075499, 0.119064, 5.09523, 102.332, 104.454, failure
IvP1, 100, 4, 1, 200, BFTKVS2, 3, 100, 100, 100, 100, 0.014955, 0.0728775, 0.138784, 7.13316, 51.756, 54.2884, failure
IvP1, 100, 4, 1, 100, BFTKVS2, 3, 100, 100, 100, 100, 0.016291, 0.0757531, 0.135603, 4.0936, 27.209, 30.4125, failure
IvP1, 100, 4, 1, 50, BFTKVS2, 3, 100, 100, 100, 100, 0.015337, 0.0760743, 0.132874, 0.812519, 14.4559, 18.0712, success
IvP1, 100, 1, 3, 800, BFTKVS2, 3, 100, 100, 100, 100, 0.019094, 0.072712, 0.124352, 2.77707, 141.566, 401.275, failure
IvP1, 100, 1, 3, 400, BFTKVS2, 3, 100, 100, 100, 100, 0.019926, 0.0763041, 0.136279, 4.14385, 72.1296, 201.253, failure
IvP1, 100, 1, 3, 200, BFTKVS2, 3, 100, 100, 100, 100, 0.017139, 0.0765313, 0.142752, 3.62321, 35.142, 53.6137, failure
IvP1, 100, 1, 3, 100, BFTKVS2, 3, 100, 100, 100, 100, 0.015997, 0.0729806, 0.130561, 1.39766, 18.6706, 28.9027, failure
IvP1, 100, 1, 3, 50, BFTKVS2, 3, 99.9833, 100, 99.9833, 100, 0.014157, 0.071146, 0.126918, 1.24543, 10.3228, 25.7975, success
IvP1, 100, 4, 3, 800, BFTKVS2, 3, 100, 100, 100, 100, 0.016216, 0.0755033, 0.173973, 2.76045, 134.357, 204.475, failure
IvP1, 100, 4, 3, 400, BFTKVS2, 3, 100, 100, 100, 100, 0.016502, 0.0692141, 0.131837, 4.49387, 68.6246, 104.436, failure
IvP1, 100, 4, 3, 200, BFTKVS2, 3, 100, 100, 100, 100, 0.015595, 0.069805, 0.148913, 4.17935, 35.5097, 100.118, failure
IvP1, 100, 4, 3, 100, BFTKVS2, 3, 100, 100, 100, 100, 0.014353, 0.0750934, 0.13522, 2.49499, 18.663, 34.691, failure
IvP1, 100, 4, 3, 50, BFTKVS2, 3, 100, 100, 100, 100, 0.01419, 0.0780818, 0.141099, 0.928393, 10.6393, 18.2985, success
IvP1, 100, 1, 1, 800, RedisKVS2, 3, 98.5684, 100, 95.2, 100, 7.61515, 28.8155, 63.1475, 0.000405, 17.8878, 47.4022, failure
IvP1, 100, 1, 1, 400, RedisKVS2, 3, 99.8947, 100, 99.6, 100, 7.11499, 38.8665, 56.823, 0.000417, 34.3682, 54.9623, failure
IvP1, 100, 1, 1, 100, RedisKVS2, 3, 99.8632, 100, 99.5, 100, 6.84641, 43.8862, 61.3787, 0.000399, 30.3893, 58.6243, failure
IvP1, 100, 1, 1, 50, RedisKVS2, 3, 97.8316, 97.9579, 96.95, 97.6, 6.80365, 24.0598, 51.17, 0.000396, 13.0327, 43.5441, success
IvP1, 100, 4, 1, 800, RedisKVS2, 3, 96.3263, 100, 32, 100, 17.7852, 75.0086, 117.843, 0.000434, 60.3993, 113.773, failure
IvP1, 100, 4, 1, 400, RedisKVS2, 3, 95.7632, 100, 20.9, 100, 9.36134, 87.9535, 99.0029, 0.00036, 90.1499, 97.0726, failure
IvP1, 100, 4, 1, 200, RedisKVS2, 3, 96.3237, 100, 31.5, 100, 5.83415, 105.864, 117.155, 6.26931, 106.935, 113.725, failure
IvP1, 100, 4, 1, 100, RedisKVS2, 3, 91.7526, 99.7895, 1.5, 99.55, 17.5281, 68.7503, 106.524, 0.000355, 67.8878, 108.665, failure
IvP1, 100, 4, 1, 50, RedisKVS2, 3, 78.5487, 67.4211, 13.8625, 59.6125, 5.73974, 42.7716, 79.1465, 0.687995, 40.7348, 76.7402, success
IvP1, 100, 1, 3, 400, RedisKVS2, 3, 99.993, 100, 99.8667, 100, 1.07584, 37.7091, 56.2617, 0.839846, 30.5952, 53.6341, failure
IvP1, 100, 1, 3, 200, RedisKVS2, 3, 99.8842, 100, 99.6, 100, 7.23659, 37.9172, 63.759, 0.000351, 22.9301, 61.5362, failure
IvP1, 100, 1, 3, 100, RedisKVS2, 3, 0.1, 100, 0.1, 100, 3.04692, 24.8068, 46.7885, 0.000358, 19.7385, 46.2148, failure
IvP1, 100, 1, 3, 50, RedisKVS2, 3, 0.05, 100, 0.05, 100, 2.20373, 11.8411, 43.1704, 0.000479, 4.11516, 42.6439, success
IvP1, 100, 4, 3, 800, RedisKVS2, 3, 95.4, 100, 18.2667, 100, 6.33867, 58.246, 96.1323, 0.000358, 58.7996, 95.0805, failure
IvP1, 100, 4, 3, 400, RedisKVS2, 3, 93.4088, 100, 6.46667, 100, 7.43845, 79.1135, 117.155, 0.00036, 58.1958, 116.042, failure
IvP1, 100, 4, 3, 200, RedisKVS2, 3, 0.2, 100, 0.2, 100, 3.68214, 33.1088, 57.4688, 0.788351, 33.7166, 57.0748, failure
IvP1, 100, 4, 3, 100, RedisKVS2, 3, 0.1, 100, 0.1, 100, 5.64558, 43.5166, 77.8452, 0.000148, 42.0722, 76.2603, failure
IvP1, 100, 4, 3, 50, RedisKVS2, 3, 55.7112, 55.257, 16.1083, 36.95, 2.53855, 47.1377, 80.0967, 0.000126, 34.9626, 76.0804, success
IvP1, 100, 1, 1, 800, ETCDKVS, 3, 4.16842, 6.14737, 0.8, 0, 801.089, 1020.45, 2167.74, 4.6e-05, 0.000246872, 0.000564, failure
IvP1, 100, 1, 1, 400, ETCDKVS, 3, 0.863158, 2.21053, 0.4, 0, 403.986, 619.504, 2090.14, 4.5e-05, 0.000235132, 0.000848, failure
IvP1, 100, 1, 1, 200, ETCDKVS, 3, 0.221053, 0.831579, 0.2, 0, 203.661, 427.202, 1873.1, 4.5e-05, 0.000237006, 0.000498, failure
IvP1, 100, 1, 1, 100, ETCDKVS, 3, 0.105263, 0.426316, 0.1, 0, 99.7038, 291.775, 1675.53, 4.5e-05, 0.000784096, 0.371385, failure
IvP1, 100, 1, 1, 50, ETCDKVS, 3, 0.05, 0.336842, 0.05, 0, 50.1255, 253.847, 1415.59, 4.3e-05, 0.00147463, 1.53012, success
IvP1, 100, 4, 1, 800, ETCDKVS, 3, 1.44211, 1.31579, 0.8, 0, 801.656, 1256.12, 2806.59, 4.5e-05, 0.000213312, 0.000308, failure
IvP1, 100, 4, 1, 400, ETCDKVS, 3, 0.426316, 0.605263, 0.4, 0, 404.706, 814.888, 2414.53, 4.5e-05, 0.000247684, 0.001755, failure
IvP1, 100, 4, 1, 200, ETCDKVS, 3, 0.2, 0.326316, 0.2, 0, 213.352, 614.272, 2031.42, 0.000106, 0.00031737, 0.001031, failure
IvP1, 100, 4, 1, 100, ETCDKVS, 3, 0.1, 0.209211, 0.1, 0, 100.064, 379.882, 2112.82, 4.5e-05, 0.00199945, 1.40662, failure
IvP1, 100, 4, 1, 50, ETCDKVS, 3, 0.05, 0.301974, 0.05, 0, 49.7823, 138.184, 1265.46, 5.5e-05, 0.000485856, 0.549901, success
IvP1, 100, 1, 3, 800, ETCDKVS, 3, 0.912281, 6.79298, 0.8, 0, 800.529, 967.104, 2366.33, 0.000103, 0.000349827, 0.000871, failure
