Workload, Duration (s), #Tasks/CPU, #CPUs, Period (ms), KVS Type, Node ID, Successful Reads (%), Successful Writes (%), Successful Read Iterations (%), Successful Write Iterations (%), App BCET (ms), App ACET (ms), App WCET (ms), KVS BCET (ms), KVS ACET (ms), KVS WCET (ms), Stable control?
IvP1, 100, 1, 1, 800, BFTKVS2, 2, 100, 100, 100, 100, 0.034544, 0.0768752, 0.112246, 2.89962, 196.149, 401.491, failure
IvP1, 100, 1, 1, 400, BFTKVS2, 2, 100, 100, 100, 100, 0.019821, 0.0762459, 0.10512, 3.08251, 101.952, 201.053, failure
IvP1, 100, 1, 1, 200, BFTKVS2, 2, 100, 100, 100, 100, 0.020818, 0.0773123, 0.1228, 3.10357, 51.0492, 54.106, failure
IvP1, 100, 1, 1, 100, BFTKVS2, 2, 99.8, 100, 99.8, 100, 0.017351, 0.0751245, 0.132127, 2.93501, 26.4726, 50.8277, failure
IvP1, 100, 1, 1, 50, BFTKVS2, 2, 99.85, 100, 99.85, 100, 0.016579, 0.0749718, 0.136957, 4.02437, 15.4386, 25.8808, success
IvP1, 100, 4, 1, 800, BFTKVS2, 2, 100, 100, 100, 100, 0.019564, 0.0770758, 0.115385, 3.34539, 200.846, 204.47, failure
IvP1, 100, 4, 1, 400, BFTKVS2, 2, 100, 100, 100, 100, 0.016164, 0.0759268, 0.125917, 5.28781, 101.797, 104.321, failure
IvP1, 100, 4, 1, 200, BFTKVS2, 2, 100, 100, 100, 100, 0.015021, 0.073636, 0.139677, 5.48004, 52.0691, 56.1972, failure
IvP1, 100, 4, 1, 100, BFTKVS2, 2, 100, 100, 100, 100, 0.015256, 0.0708853, 0.123183, 5.86562, 26.9261, 31.0049, failure
IvP1, 100, 4, 1, 50, BFTKVS2, 2, 100, 100, 100, 100, 0.016077, 0.0762936, 0.135017, 1.03221, 14.9191, 18.1816, success
IvP1, 100, 1, 3, 800, BFTKVS2, 2, 100, 100, 100, 100, 0.018939, 0.073568, 0.114728, 1.44655, 134.884, 400.954, failure
IvP1, 100, 1, 3, 400, BFTKVS2, 2, 100, 100, 100, 100, 0.016643, 0.0729332, 0.125544, 3.39684, 69.354, 201.188, failure
IvP1, 100, 1, 3, 200, BFTKVS2, 2, 100, 100, 100, 100, 0.016605, 0.0720888, 0.127346, 3.15732, 35.4938, 53.7688, failure
IvP1, 100, 1, 3, 100, BFTKVS2, 2, 100, 100, 100, 100, 0.016708, 0.0756326, 0.135562, 2.23797, 18.8619, 29.422, failure
IvP1, 100, 1, 3, 50, BFTKVS2, 2, 100, 100, 100, 100, 0.014862, 0.0740047, 0.131311, 0.85204, 10.6855, 25.8423, success
IvP1, 100, 4, 3, 800, BFTKVS2, 2, 100, 100, 100, 100, 0.016039, 0.0737888, 0.131074, 1.66247, 134.253, 204.608, failure
IvP1, 100, 4, 3, 400, BFTKVS2, 2, 100, 100, 100, 100, 0.016069, 0.0691534, 0.133371, 4.03338, 68.7055, 105.886, failure
IvP1, 100, 4, 3, 200, BFTKVS2, 2, 100, 100, 100, 100, 0.015082, 0.0665397, 0.152312, 3.60297, 35.5791, 55.184, failure
IvP1, 100, 4, 3, 100, BFTKVS2, 2, 100, 100, 100, 100, 0.015119, 0.0780913, 0.135323, 1.6698, 19.1953, 34.6422, failure
IvP1, 100, 4, 3, 50, BFTKVS2, 2, 100, 100, 100, 100, 0.013848, 0.0770808, 0.146651, 0.797018, 10.5212, 18.0314, success
IvP1, 100, 1, 1, 800, RedisKVS2, 2, 100, 100, 100, 100, 6.89511, 28.6597, 62.8704, 0.000483, 16.8001, 49.3082, failure
IvP1, 100, 1, 1, 400, RedisKVS2, 2, 99.7474, 100, 98.4, 100, 7.79426, 38.9207, 56.8313, 0.000392, 32.1797, 53.3083, failure
IvP1, 100, 1, 1, 200, RedisKVS2, 2, 99.8947, 100, 99.4, 100, 6.98013, 53.473, 56.9728, 0.000383, 46.3801, 54.5185, failure
IvP1, 100, 1, 1, 100, RedisKVS2, 2, 100, 100, 100, 100, 6.22324, 43.8627, 61.4105, 0.000357, 30.0492, 47.6469, failure
